Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Burkina Faso,BFA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,0.03754,0.04693,0.054949999,0.08602,0.101199999,0.201790005,0.183339998,0.222760007,0.229230002,0.21322,0.278349996,0.426149994,0.500909984,0.539619982,0.593140006,0.611819983,0.63894999,0.678569973,0.754429996,0.756060004,0.700980008,0.930050015,1.081940055,1.054250002,1.097779989,1.054270029,0.96924001,,0.999130011,,1.15666,1.41178,1.60116,,2.30734,2.44097,2.61219,3.18105,3.53374,3.57942,4.14652,4.55887,4.77675,5.07697,5.06383,5.56196,6.0034,6.50187
Bangladesh,BGD,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,2.13338995,,2.449630022,2.560559988,3.358860016,,2.798229933,3.006690025,2.390630007,3.365550041,3.245990038,3.096029997,3.801310062,4.678380013,5.044439793,5.114429951,4.984859943,4.323740005,3.718199968,3.674740076,4.208960056,,,,,,,,,5.633440018,5.63134,6.65154,6.34442,6.39096,5.88915,6.4467,7.3612,7.93297,8.88409,10.85809,,13.69156,13.801,,13.86508,,17.87436,18.15146,20.56507
Bulgaria,BGR,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,14.25055981,15.50409985,17.13919067,18.03173065,19.05385017,19.43024063,19.74670982,21.9737606,18.23545074,17.05952072,16.10189056,15.63683987,15.41180038,15.9854002,17.02923012,18.70066071,20.75403023,22.54714966,25.01054955,26.15537071,30.98031998,30.37958908,31.83337021,33.58517075,36.40219116,40.94532013,42.96567154,42.78302002,44.83275986,44.12976,42.78108,40.88225,41.62207,42.55524,45.36802,47.15087,50.58833,51.91331,54.23545,57.79518,59.02869,61.35998,64.19198,67.56356,70.30154,71.24574,,
Bahrain,BHR,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,1.513560057,1.432240009,1.432469964,2.239300013,2.238430023,2.194890022,3.520760059,3.251620054,2.764270067,3.223119974,4.678649902,5.886919975,,,12.16149998,12.71714973,9.544130325,13.29312992,,,17.22944069,16.95248985,17.55381966,16.76971054,16.56093025,17.60573959,,,21.64746094,,,,27.94311,,23.95824,22.79489,,,,,43.96669,43.19741,39.54289,41.32924,43.27575,46.56614,47.14588,50.4819
"Bahamas, The",BHS,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,30.12882042,27.53321075,25.74971008,18.71912956,16.35367966,15.20020962,11.63673019,13.54841042,15.00076008,17.44437027,19.3540802,20.92620087,,,,,,,15.05817986,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.97106,22.97824,23.34466,,,,,,,,,,,,,,,,
Belarus,BLR,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,40.97262955,,,,,37.26008987,,,,38.38587189,39.68624878,39.96981049,41.18185043,42.57104111,44.40879822,45.58385849,46.69733047,47.64347839,48.20013046,49.51082993,48.20177841,44.27215958,43.66905975,41.68539047,40.71274948,44.90518188,45.57012177,49.65983963,52.65364075,55.08984,57.51347,60.09337,62.86723,65.01206,67.57421,69.71343,71.66675,71.22473,74.45922,79.57814,86.13762,92.07143,93.54328,91.50016,89.56716,88.18458,88.45143,87.42909
Belize,BLZ,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,1.03271997,0.845589995,,0.895470023,0.941709995,,,,,,,,,,,,,,,,,,,,,,,,,,14.66573,16.50701,15.83844,15.40245,16.02117,17.01988,18.18182,19.09912,22.41008,21.86788,21.90514,24.32075,24.16824,24.00411,23.25367,24.21411,24.65664,
Bermuda,BMU,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,7.48263979,9.674119949,10.28069019,,,,,,,,,,,,,,,,,,,,,,,,,29.01057,25.9357,26.22478,32.91566,30.74873,32.01658,31.61019,30.3114,28.23649,25.14212,,17.83355,19.02726
Bolivia,BOL,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.08415985,,18.15428,20.69567,23.21699,24.49124,25.98963,,30.78669,35.5621,37.0384,,43.45983,44.96641,46.81655,49.91353,51.05413,50.48851,51.3436,
Barbados,BRB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,3.206290007,4.20897007,5.099309921,5.541649818,,,,,,,14.42057037,17.57670975,,18.63225937,19.36930084,,,,16.8152504,16.75686073,26.12537956,27.39529991,25.51107979,,,,,,34.96662903,40.57286,39.82133,,,,,,59.73393,,75.69624,69.80744,65.42534,,,,,,,
Brunei Darussalam,BRN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,1.957419991,,2.171530008,,,,1.013339996,2.886899948,,2.920589924,4.341629982,,,,,5.311900139,5.41809988,5.618629932,,,,9.652549744,11.9678297,12.68709,14.24075,13.91759,14.00622,14.68594,14.56069,14.50456,15.01222,15.73895,16.76596,15.45914,17.40432,22.42971,24.3401,32.02042,31.30059,31.92415,33.56496,31.39258
Bhutan,BTN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,0.40715,0.743049979,0.879419982,,,0.719889998,,,,,,,,,,,,,,,,2.674160004,,,,,,5.039,5.30335,5.70472,6.75873,6.49166,7.24678,8.91947,9.50961,10.90072,,,,,15.55451
Botswana,BWA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,0,0,0.363090008,0.417210013,0.462390006,0.707899988,0.756290019,0.862569988,1.021219969,1.112100005,1.344609976,1.43599999,1.591439962,1.661489964,1.877380013,2.053440094,2.399669886,2.6473701,,,,4.336329937,,5.038660049,5.476419926,5.205049992,5.627190113,,6.140230179,6.525020123,7.35285,7.93669,8.27391,9.63696,10.21485,9.92902,10.89706,11.11516,15.47852,23.68351,20.84838,18.5427,22.83048,,27.30731,30.23934,25.91087,24.85997,
Central African Republic,CAF,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,0.106409997,,,0.246360004,0.261530012,0.409280002,0.440250009,0.579289973,0.822359979,1.11819005,0.885290027,1.263170004,1.031569958,1.110679984,1.123600006,1.147989988,1.047950029,1.164420009,1.283419967,1.429080009,1.54084003,1.43027997,,,,,,,1.94580996,1.9174,,,,1.72571,,1.14202,,2.34291,2.53539,2.67115,3.13708,2.9803,,,,,,
Canada,CAN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,48.0385704,,,,,,,,,,70.59152985,,,83.08904266,90.52835083,95.54933929,97.6102066,88.22052002,90.09745026,90.54239655,89.21376801,,59.50188065,60.2518692,59.11446,,59.54659,,,,,63.60006,63.7674,63.06577,61.65585,63.46732,63.98077,65.3323,65.61291,64.78696,66.43918,68.92251,
Central Europe and the Baltics,CEB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,12.83298016,12.81768036,12.59642982,12.80148029,13.34934044,13.93752956,14.71592999,15.36561012,15.8221302,15.86699963,15.95796967,16.10017967,16.19371033,16.12947083,16.3938694,16.4975605,16.67836952,16.71433067,16.74991035,17.18058968,17.40418053,18.40055084,18.40376091,19.69297028,22.21585083,24.34469986,27.91094971,30.6129303,31.60722923,35.39857864,38.8769989,42.98625183,46.60897064,50.08496857,53.49282074,57.01633835,59.76752853,62.5872612,65.85360718,67.70140076,68.20904,67.04165,65.19365,63.61439,62.08801,61.04804,61.1347,61.51065,61.51065
Switzerland,CHE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,10.04364967,10.58008003,11.37127972,12.42973995,13.19721985,13.88918972,15.75527,16.41097069,17.21064949,17.91974068,18.55677986,18.85586929,18.84465981,19.43013954,21.09674072,21.64961052,22.68453026,23.3827095,24.00201035,25.60500908,26.8572998,28.13349915,29.22532082,30.46475029,31.33869934,32.3965416,,35.28969955,36.99367142,37.77896,39.77228,40.94655,44.03967,45.60078,45.80415,46.5378,47.24253,48.83328,50.14809,52.93773,54.48452,55.52047,56.27015,57.22972,57.70735,58.04695,59.56299,
Channel Islands,CHI,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,8.42936039,10.4429903,12.67716026,14.1505003,13.65225029,13.79782009,12.17424011,11.77925014,11.51805973,11.01303005,12.36781025,,13.07452965,14.60266972,15.34016037,15.98256969,17.30162048,18.09790039,18.95202065,,,21.15908051,24.01111984,26.18572044,26.92556,27.43598938,29.20948982,30.10980988,32.00793839,35.36761856,35.3763,,40.37825,43.46954,43.93025,49.36884,48.23467,53.95667,56.73127,60.9115,67.86343,72.27679,75.93107,79.95629,82.84638,85.26672,87.18814,88.46442,
China,CHN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,0.128209993,,,0.206389993,0.338420004,0.47586,0.565069973,0.637220025,0.70630002,0.966149986,1.130329967,1.781780005,,,2.018429995,2.43659997,2.972229958,3.112570047,3.082060099,2.991960049,2.972559929,2.891459942,2.805660009,2.889689922,3.611409903,4.390140057,4.91531992,5.350110054,5.863930225,6.394279957,7.59041,9.78911,12.62848,15.45268,17.69126,19.087,20.21919,20.52122,20.68412,22.44306,24.19849,25.64785,28.72567,32.43367,42.43073,46.04043,48.01902,49.07326,50.60444
Cote d'Ivoire,CIV,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,1.123149991,1.103440046,1.257429957,1.262249947,,1.304200053,1.508849978,1.691849947,1.979400039,2.191169977,2.862649918,2.626559973,,2.435189962,2.434839964,,2.723530054,,,,,2.845669985,3.417670012,4.293670177,4.283219814,,6.575240135,,6.65376997,,,,,,,,9.00826,8.50841,8.35795,7.67225,3.42073,,8.23078,8.31519,8.79438,8.94925,9.34137,
Cameroon,CMR,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,0.486090004,0.606149971,0.768050015,0.922129989,1.048050046,,,,1.616969943,1.810539961,1.611860037,1.670359969,1.740689993,1.938169956,2.131870031,,2.40060997,2.571170092,2.560159922,2.918879986,3.221060038,,,,,,,,4.914209843,4.64524,4.6557,5.08507,5.12258,5.09329,5.8506,6.8095,7.26151,7.88311,9.0476,11.15702,12.07216,13.09234,15.29166,16.28087,16.96239,12.47753,12.76025,
"Congo, Dem. Rep.",COD,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,0.664889991,0.79527998,0.837000012,0.937619984,1.046149969,1.200710058,1.202559948,1.23556006,1.254240036,1.141680002,1.181220055,1.369799972,1.289960027,1.472040057,1.442309976,1.48150003,1.614279985,1.812749982,2.047310114,2.150490046,2.502739906,,,,2.512310028,,,,1.455890059,,,,,,,4.49342,4.52037,5.68827,6.74201,,8.13955,8.26458,6.93433,,,6.60334,,
"Congo, Rep.",COG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,1.572780013,1.263599992,1.728870034,2.047790051,2.318020105,2.423990011,2.74341011,3.214449883,3.723040104,4.52203989,4.625030041,5.467430115,5.599030018,5.697850227,5.7385602,5.654109955,5.61604023,5.926290035,4.894909859,4.804389954,4.713729858,5.130139828,5.671860218,,,,,,3.578310013,5.07898,4.253,3.7782,3.7622,,,,,,6.25566,,8.72515,10.00407,9.31913,,,,12.66688,
Colombia,COL,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,4.247049809,4.721310139,5.323170185,5.720880032,6.246660233,7.110620022,7.528150082,8.5353899,8.819970131,9.016619682,8.854680061,10.13027954,10.47474003,10.92078018,11.46858025,11.7568903,12.48497963,12.97144032,13.67794991,14.23342991,14.65400982,15.34537029,15.98505974,16.15122986,16.70019913,16.66974068,17.91041946,21.10671043,23.67215919,23.29743004,24.492,25.34747,25.43061,,28.13663,30.69216,32.69948,33.74994,36.07695,37.51899,39.41332,43.03231,45.3073,48.73311,51.41638,53.28214,55.48425,56.43403,55.32749
Comoros,COM,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.690100014,,0.607529998,0.606980026,,,0.84345001,,,1.371749997,1.45456,,,3.1002,,,,4.13892,,5.89785,5.78296,8.00801,8.68938,8.75743,8.99478,,,,
Cabo Verde,CPV,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.753039956,2.01489,1.71254,4.07566,4.73109,6.18607,7.6257,8.54635,9.70494,12.04436,15.15341,18.00976,20.71314,20.59732,22.94644,23.97116,23.06306,24.00533,24.3977,
Costa Rica,CRI,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,8.749569893,9.664640427,10.37570953,11.41808987,,,,,20.51036072,20.77428055,20.14137077,20.83316994,20.46286964,20.22410965,20.63349915,21.91721916,23.0394001,25.02280998,25.07345963,26.75172997,27.0199604,29.08210945,31.52626991,,,,,,,,,,,,26.6577,,,,,,,45.81894,48.10857,49.00672,52.23117,53.05263,53.6387,55.74574,55.20794
Caribbean small states,CSS,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,4.563950062,4.540579796,4.787660122,5.021259785,5.126100063,5.399300098,6.065790176,6.294239998,6.268099785,6.216440201,6.11371994,6.073200226,6.202730179,5.741499901,5.724140167,5.902450085,6.10901022,6.397089958,6.659759998,7.00481987,7.556369781,8.505310059,8.771539688,9.099349976,9.519089699,9.701100349,10.11695957,10.52106953,10.60614967,10.73598957,13.22542953,14.27670956,15.34560966,16.33420944,17.64414978,17.13456917,17.19416046,18.41226959,19.93643951,20.45640945,21.87248,21.74023,23.08345,22.68421,22.91996,22.95009,23.06284,,
Cuba,CUB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,3.588670015,4.881269932,6.290440083,7.05396986,8.63724041,10.56581974,13.99691963,16.30525017,17.0383091,17.5121994,16.58082962,16.38549995,15.92325974,16.94082069,18.18535995,20.07444954,22.16531944,22.90699005,21.98494911,21.28325081,21.22561073,19.67630005,17.61053085,16.14381981,13.5776701,12.70767021,12.64603996,12.93379974,20.33568001,22.03744,25.22223,27.03583,32.79891,53.83247,62.19304,86.64419,105.4806,117.10081,114.0977,94.85229,80.91815,63.8295,49.26814,40.96097,36.1142,34.03981,39.91314,
Curacao,CUW,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.42857,,,,,
Cayman Islands,CYM,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,1.300639987,1.460330009,1.599149942,1.42482996,,,,1.71262002,2.19652009,2.246229887,2.868419886,3.02895999,2.800940037,3.405380011,3.964230061,4.834780216,5.429480076,6.754990101,7.934350014,9.027099609,10.12450981,9.247119904,14.07258034,15.02812958,17.01656914,19.17955971,20.93540001,,21.0324192,19.56232,21.61252,25.10229,31.96361,35.86369,33.22082,33.41991,36.17381,42.618,52.00389,48.31158,46.53973,45.86359,47.52524,53.10435,60.10123,,,
Czech Republic,CZE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,8.904390335,8.388420105,8.460929871,9.176560402,10.16726017,11.37895966,13.05451965,14.5703001,15.31842041,16.31719017,17.06698036,17.34226036,17.22730064,16.65736008,16.32517052,16.15093994,16.45553017,16.4865799,16.30483055,16.15299988,16.05772018,14.57238007,14.38755035,19.39908028,20.57965088,21.50966072,23.24160957,23.74192047,25.47488022,28.34876,29.97563,34.43736,37.00822,43.73418,48.34936,50.13669,54.18236,58.06951,61.07541,63.94588,65.57001,65.67117,65.08577,65.6241,64.48163,63.74813,64.07869,
Germany,DEU,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.65991974,35.43257904,39.42060089,42.50059891,45.32741928,46.94253159,47.79207993,,,,,,,,,,,,,,,,61.38684,65.50391,67.74687,69.58059,70.24665,
Djibouti,DJI,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,0.094590001,0.108230002,0.132090002,,0.219889998,0.259770006,,0.25661999,0.26942,0.68793,1.00922,1.26036,1.56962,2.29907,2.52313,2.70975,2.7832,3.53736,3.61628,5.34532,,,,,,,
Dominica,DMA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,0.741609991,,,0.683399975,0.712759972,,,,0.84138,,5.893640041,9.47990036,7.23360014,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,18.85399055,22.05900955,25.35852051,27.64678955,28.52527046,30.04233932,30.16300964,31.93433952,28.26959038,28.37664986,28.26807022,27.96108055,28.55385971,28.76107979,28.82218933,29.09523964,29.61317062,30.59115028,31.85487938,34.09513092,36.45914841,38.63267136,42.71728134,44.65515137,45.44683075,47.79914856,,52.45497131,55.81919098,57.21831,59.99788,63.50836,67.50428,74.395,80.37451,79.01963,78.55219,75.68209,74.28376,73.59667,76.75835,79.10832,80.93104,81.02908,82.12949,81.05675,80.61602,
Dominican Republic,DOM,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,6.275300026,8.087320328,8.278960228,,8.924759865,,,,,,,,,,,18.87902069,,,,,,,,,,,22.61500931,,,,,,34.09831,,,,,,,,,48.629,,49.31927,51.74711,54.499,59.91559,
Algeria,DZA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.045040131,8.864520073,,10.29314041,11.01270008,11.14538002,10.98828983,10.46949005,10.15425014,11.41825008,,,13.72463989,,15.65381,17.37116,18.57795,19.14942,20.87286,21.33784,23.60133,,29.90938,29.88943,31.21409,32.20153,33.89099,34.48182,36.78132,42.62885,47.64683,51.36567
East Asia & Pacific (excluding high income),EAP,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,,,,,,,,1.448879957,1.391880035,1.423509955,1.474339962,1.658349991,1.854640007,2.031009912,2.191760063,2.45085001,2.887480021,3.186589956,3.625819921,4.069699764,4.237490177,4.528590202,4.81016016,5.048639774,5.199120045,5.064239979,5.160049915,5.154319763,5.22672987,5.258450031,5.451059818,6.183279991,6.962250233,7.654520035,8.528849602,9.327079773,10.35970974,11.38945007,12.9789896,14.96840954,16.9649601,18.60354996,19.74575043,20.57976913,21.1053791,21.67885017,23.29108047,24.90726,26.41241,28.97813,31.61593,38.32286,40.77012,42.18603,42.88394,43.79356
